ID	Tweet	차원에 영향을	강도 클래스
2017-En-20544	그 노부인은 클레이 점토입니다 # 훈련 된 # 베일 이즈 정렬 귀여운 # 분노	공포	0 : 두려움은 추측 할 수없는
2017-JA-21731	신부의 음성 아버지를 편집한다. 3 분 후, 그녀는 그것을 감싸듯이 전합니다. 그는 또한 12 분 동안 계속됩니다.	공포	0 : 두려움은 추측 할 수없는
2017-JA-20112	@YahooCare 데이터는 2014 년에 도난했지만 지금은 당신에게 무엇입니까?	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-ja-21217	@ 라이언 멀리 나는 걱정하고 하나님 께 감사합니다.	공포	0 : 두려움은 추측 할 수없는
2017-ja-20136	이것은 모든 가장 무서운 미국의 공포 이야기입니다 ... 나는 낮에 볼 필요가 있습니다.	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-En-21182	@BuzzFeed 때문에이 주택 내 instestines에 들어가면 내 가슴을 두려워, 나는 바지를 빌어있는 것일까 요?	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-En-20547	심야 # 생각합니다. 감정.	공포	0 : 두려움은 추측 할 수없는
2017-En-21320	공포의 위협 수준은 정말	인상 될 필요가 있습니다. 공포	3 : 대량의 공포가 추측 할 수있다
2017-En-20718	# 문제가 있나요? 예! 그것에 대해 # 뭔가 할 수 있습니까? 아니오! 이유보다	공포	0 : 두려움은 추측 할 수없는
2017-JA-20746	@ davidpreece12 @FitbaHacks 훌륭한 수비수 심한 포지셔닝. 러셀이 그에게 90 분 울기없이 어디에 해야할지 몰랐습니다. 공포	0 : 두려움은 추측 할 수없는
2017-En-20013	#panic 새로운 약물 치료를 시작하는 공포에서 공황	공포	3 : 대량의 공포가 추측 할 수있다
2017-ja-21205	@stephenfhayes 겨자 가스 = 테러리즘이 아니라 적대적인 작업 환경. # 군용이 아니라 #OSHA를 호출	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-En-20619	오늘 직장에서 집으로 돌아온 @ amityaffliction의 종류 # dailyfeels	공포	0 : 두려움은 추측 할 수없는
2017-JA-21953	♪ 올드 피쉬	공포	0 : 두려움은 추측 할 수없는
2017-En-20812	로조 무서운 수비수입니다.	공포	0 : 두려움은 추측 할 수없는
2017-ja-20099	과거에 당신과 소송을 일으키지 않도록 끈기 하나되지 않은 사람이 가짜 포옹을 강요 당하고있다 - # fulful😖👺🙅	공포	2 : 중간 정도의 공포가 추측 수
2017-En-21148	이것은 #horrible입니다 : 루이스 덩크 멕시코 그의 휴가 집과 네오 지오의 네트워킹을 시작했습니다.	공포	0 : 두려움은 추측 할 수없는
2017-En-20548	@hotpatooties 더 빨리 이혼하는 것과 마찬가지로 # awful	공포	0 : 두려움은 추측 할 수없는
2017-JA-21773	#MaryBerry없이 Noooooo @ GBBOUK는 # 이동 #endofanera 2b 가기 때문에, # lost @ Channel4 거기 #lameduck을 구입하는 #없는 모든	공포	1 : 낮은 양의 공포가 추측 할 수
2017-ja-21806	@SimplyMayaMarie @ STILLStanding_B😂😂😂 당신이 놀라고있는 것은 그 충격적인 일이야. 모든	공포	0 : 두려움은 추측 할 수없는
2017-JA-20802	크로스 워드 퍼즐은 영양가 근본적인 근본적인 실패를 불식하기위한 보리의 식사입니다.	공포	0 : 두려움은 추측 할 수없는
2017-ja-21829	@priorJoan @MizQue \ n 실제로 트럼프의 지지자의 전형적인 \ n이 아이는 학교에서 바리시즈무을 배운 \ n 끔찍한	공포	1 : 낮은 양의 공포 추측 수
2017-ja-21826	@CGasparino 가스를 던져십시오, 나는 당신을 싫어하지, 난 그냥 무례를 존중하지 않는다. # bully	공포	0 : 두려움은 추측 할 수없는
2017-JA-21671	@ 60DaysInJail Dafron는 지구상에서 가장 큰 패자에게 손을 내밀고있다! 전형적인 #bully # lifer	공포	0 : 두려움은 추측 할 수없는
2017-En-21073	@CurtisJobling 네, 확실히! 우리는 많은 학생들이 당신을보고 매우 흥분하고 있다는 것을 알고 있습니다! 우리는 이것을 정렬해야합니다! # haunt	공포	0 : 두려움은 추측 할 수없는
2017-ja-21902	다른 사람이 Poundstretcher과 나쁜 경험을하고 있습니까? #nightmare firm	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-JA-20023	내 불안 공격 중에 나에게 이야기 같은 유일한 사람은 울고있는 캐서린입니다. 공포	3 : 대량의 공포가 추측 할 수있다
2017-JA-21785	@HMiglino @ CParks777 @Coco_Wms @ bodyfit67 @TruthEqualsFact @politicususa 나는 결코 내 인생에서 선거를 걱정 없습니다! ️	공포	3 : 대량의 공포가 추측 할 수있다
2017-JA-20377	정말 공포의 밤에 가고 싶어하지만 실제로는하지 않습니다.	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-En-20594	#GADOT Williams와 Ivan Allen Jr Blvd 좌회전 신호를 입력하십시오. 이것은 절대적으로 어리석은 일입니다. #ATL 트래픽 # horrible	공포	0 : 두려움은 추측 할 수없는
2017-En-21873	만취 한 와인은 자신의 최악의 버전이지만 버스 사냥꾼을 기억하지 않아도	공포	0 : 두려움은 추측 할 수없는
2017-ja-21907	#life이 길어짐에 따라 # 너무 기분이 나빠집니다. #modestmouse @ modestmouseband	공포	0 : 두려움은 추측 할 수없는
2017-JA-20118	내 꿈 속에서 .... 그들은 내 신장을 훔치려 고했다! #blackmarket # whydidiwatch	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-ja-21551	# 아무것도 걱정하지 마십시오.	공포	0 : 두려움은 추측 할 수없는
2017-En-21570	#Success 당신의 # fear & amp; amp; 그것은 당신의 # 머리 밖에 없습니다 - JesusChristEmpowersRightThinking-ASK # fitness # weightlifting	공포	0 : 두려움은 추측 할 수없는
2017-JA-20310	아직 양보하지 않았지만, 다시 악몽이있었습니다. # MUFC	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-ja-20075	내 룸메이트가 이야기하고 웃는다. 그것은 나의 두려워하는 것은 결코 아닙니다. 🙅🏽😳	공포	3 : 대량의 공포가 추측 할 수있다
2017-JA-22154	모두가 테러를 중지하는 것을 걱정하고 있습니다. 글쎄, 정말 쉬운 방법이 있습니다 : 거기에 참여하는 것을 그만하십시오. - 노아무 촘스키	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-JA-21226	@ChrissyCostanza과 사회적 불안이 있습니다. 나에게 잘못이 많이 있습니다. 😄	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-JA-21853	@sethwieck 당신은 'bubledygook'의 TED Talk를해야 할 것입니다! 나는 대중에게 TED 협상을 불신하도록 설득 할 수 있다고 확신하고 있습니다!	공포	0 : 두려움은 추측 할 수없는
2017-JA-21641	@MobilePunch 경보	공포	0 : 두려움은 추측 할 수없는
2017-JA-20373	사가 : 당신의 모든 장치와 전화 # gbbo를 굽기 위해 단지 늦었 던 때,	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-En-21159	@fatgirlhealthy @ MBSCBILL .... 그럼 정치적 의제에 대한 폭력과 협박을 어떻게 할 것인가. 일명 테러리즘?	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-JA-21721	@jk_rowling @ Riverfeather207 백악관의 부동산 재벌 도널드 트럼프	공포	0 : 두려움은 추측 할 수없는
2017-JA-21739	@FaithHill 나는 잘 기억 # 행복 # Positive	공포	0 : 두려움은 추측 할 수없는
2017-JA-21918	난 항상 수요일 두려워 항상 나는 행복한 기분을 느끼게 해줍니다. 공포	0 : 두려움은 추측 할 수없는
2017-JA-20319	그러나 대리인은 진짜가 아니라, 내 동생은 여전히 ​​나를 사랑하고 있습니다. 나는 아직 살아있다. 그래서 나는 그것이 나쁘지 않다고 생각한다. #socialanxiety # anxiety	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-ja-20886	선생님, 내 관심사는 하나님이 우리 편에 있는지 여부라는 것은 없습니다. 나의 가장 큰 관심사는 하나님 편에있는 것입니다. 하나님은 항상 올바른 때문입니다. - 아브라함 링컨	공포	0 : 두려움은 추측 할 수없는
2017-En-21345	화재 경보 나 요리 스타일에 찬성 할 수없는 것 같습니다.	공포	0 : 두려움은 추측 할 수없는
2017-ja-20887	Hahahah 바이엘에서 무서운 형벌. 5 피트 폭. 예수	공포	0 : 두려움은 추측 할 수없는
2017-ja-20732	우리는 #steamworks 네트워크를 기반으로 # unity3d를위한 네트워크 관리자 전체를 코딩하는 것에 매우 바빴습니다. #gamedev # indiedev # 3amDeadTime #horror # game	공포	0 : 두려움은 추측 할 수없는
2017-JA-20049	화이트 미국인들은 아랍 테러리스트를 걱정하고있다. 블랙 미국인은 매일 경찰의 제복에서 테러리스트를 두려워한다.	공포	3 : 대량의 공포가 추측 할 수있다
2017-En-22013	@yellowsuburbia 정말 ?? 그렇게 오래 충격적인입니다.	공포	0 : 두려움은 추측 할 수없는
2017-En-20212	@Montel_Williams이 금지가 통과되면 많은 사람들 장애가있는 재향 군인 # chronicpain # iamkratom	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-ja-20073	@BBCPolitics @BBCNews 나는 아이에게 @BorisJohnson #shudder을 남기고 싶은 생각합니다. 공포	3 : 대량의 공포가 추측 할 수있다
2017-JA-21377	내 고객의 대부분은 가족 / 파트너 / 일 일 / 생활을 가지고 아름다운 책을 쓰고 있습니다. # gratitude # 하드웨어	공포	0 : 두려움은 추측 할 수없는
2017-En-22000	떨림 !!! \ n	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-JA-20142	Lysol 스프레이 포지션에 걸린 가능성이 있고, 우리는 모든 Febreeze 공장 같은 냄새가 휴지통에서 천천히 질식하고 있습니다. # panic	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-JA-21770	@TweetinderKaul @rupasubramanya @chandanwriter @TheQuint @ ShivAroor의 미래는 TRP이 두려움을 안고있는 곳에서 서둘러 # HomilyHour	공포	0 : 두려움은 추측 할 수없는
2017-En-20876	잔업 ... # TeamNA # WCH2016	공포	0 : 두려움은 추측 할 수없는
2017-JA-21457	당신이 걱정하고 있는지 걱정하고 있습니까? \ n1 피터 5 : 7 \ n 그가 당신을 걱정하고 있기 때문에 걱정하십시오. #faith #leadership #mindfulness # success	공포	0 : 두려움은 추측 할 수없는
2017-En-20492	공포 피트	공포	0 : 두려움은 추측 할 수없는
2017-ja-20090	피의 지옥 팸, 진정. 그러나 블랙 & amp; 머리카락이 카펫을 가로 질러 달리고 있었다 # perilsoflivingalone	공포	3 : 대량의 공포가 추측 할 수있다
2017-ja-21929	나는 누군가 @CapitalOne의 사용을 막는 것을 내 인생의 사명으로하는 것입니다. 그들은 당신을 눈 멀게 할 것입니다.	공포	0 : 두려움은 추측 할 수없는
2017-JA-20330	우리는 모두 무언가를 위해 DT (Discipleship training or detox)에 들어 있습니다. #messy #fearful # cutoff # 자유롭게 선택 # CryOut16	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-JA-21946	안녕하세요 @ Gmail 왜 15 보낸 이메일을 볼 수 있습니까? 수천명 없어졌다?	공포	0 : 두려움은 추측 할 수없는
2017-En-20650	@aidankerrpol 당신이해야한다고 생각합니다. 패션 경찰에 참여하십시오. # shocking	공포	0 : 두려움은 추측 할 수없는
2017-JA-20607	나는 부자 였기 때문에 오늘 아침 일어나서는 안했습니다. 빈약 한 # 너무 # 부재 #sad # needsmoresleep	공포	0 : 두려움은 추측 할 수없는
2017-En-21193	오늘은 1.5 시간 늦게 일했습니다. 내가들은 제 1 일 : "부인, 대령이 당신의 사무실에서 당신을 기다리고있었습니다. # panic # hateBeingLate😩😪	공포	3 : 대량의 공포가 추측 할 수있다
2017-JA-22146	@ S_Moore24 와우, 그것은 훌륭한	공포	0 : 두려움은 추측 할 수없는
2017-JA-21780	@CornflakeDaddy @youngvulgarian 그래, 무서운 sooo이었다, 나는	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-JA-21778	너리가 죽었을 때 엄마는 기억하고 있습니까? 당신은 아기처럼 울었다! # bully	공포	0 : 두려움은 추측 할 수없는
2017-JA-20651	@OC_Transpo 몇 주 문제는 없지만, 이번 믿기 어려운입니다 - 보통 12 버스를 달리고 있습니까? #awful # solate	공포	0 : 두려움은 추측 할 수없는
2017-JA-20866	리더십의 가장 중요한 특징은 # 우려가없는 것입니다. #activism #equity # revolution	공포	0 : 두려움은 추측 할 수없는
2017-En-21189	@SAHARTHERAPPER 나는 주저없이 & unfollowed & lt; 3	공포	0 : 두려움은 추측 할 수없는
2017-En-21564	@ Red9Nick @Audi_Nutz @ NickBuck08 @ Thompson2Neil @Insaniti_LFC @ knoller2 @KemlynRoadStand @godisared 그들의 위대한 사람을 부끄러워하지 마십시오.	공포	0 : 두려움은 추측 할 수없는
2017-En-21296	어떤 절망의 ​​시간 # SDR3 # fuckthisanime	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-ja-21815	#travelfail #virgin #virginaus와 # etihad # nightmare ... 그리고 지금도 늦었어요. # obvs🙄😠	공포	0 : 두려움은 추측 할 수없는
2017-En-21097	감자 튀김 흔들기	공포	0 : 두려움은 추측 할 수없는
2017-JA-20823	정말 멜과 고소가 싫어요. 그들은 그들이 명랑하고 그들은 끔찍한 생각한다.	공포	0 : 두려움은 추측 할 수없는
2017-En-20569	@_jamiebraidwood 웃음 무서운 것은 모두 말할 필요가 있습니다. 나는 토요일에 스페인에 갈 수있어 기쁘다 때문에 게임을 잃었습니다 🍹🍕🍺☉☉	공포	0 : 두려움은 추측 할 수없는
2017-JA-21303	@kevinrouth 이것은 내가 게임 페이스라고 부르는 것입니다. # gameface	공포	0 : 두려움은 추측 할 수없는
2017-En-22090	생일 축하 내가 좋아하는 작가에 @ StephenKing #writer # author	공포	0 : 두려움은 추측 할 수없는
2017-JA-20259	@RJAH_NHS @ ChrisHudson76 @ mbrandreth # 일정 # 잠재적 리더십 #excited # nervous # proud	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-En-21599	충격적이었다 @ JamieSmart93!	공포	0 : 두려움은 추측 할 수없는
2017-En-20924	#Trends thread; 'P) .. # 내 # 생일 후 2 분 후에 내 # 초안 & amp; 지금 #posted되었습니다 ..so #close :'O! : '/ ... 어쨌든 # 정말 #start	공포	0 : 두려움은 추측 할 수없는
2017-En-20850	@UndeadLayne @Lauren_Southern 모든 깡패	공포	0 : 두려움은 추측 할 수없는
2017-En-20530	@ jk_rowling 화가 oompa loompa 내 Boggart가 될 것이라고 결코 생각하지 않았다, 거기에 당신이있다. #boggart # PresidentTrump	공포	0 : 두려움은 추측 할 수없는
2017-En-21231	@lukeshawtime 끔찍한	공포	0 : 두려움은 추측 할 수없는
2017-JA-20713	$ 100 Teufel가 내년 전에 조직 내에서 "재 할당"되어 있다고하지만, 나는 그것이 빨랐다 생각합니다 ... # Mets # thirdbasecoach #terrible # lgm	공포	0 : 두려움은 추측 할 수없는
2017-ja-20727	# 테스트 # 연기 # 알람, # 탄소 # 모노 옥사이드 # 검색 # 배터리를 잊지 마세요. 당신의 생활을 저장할 수 있습니다. # Lovinleeds	공포	0 : 두려움은 추측 할 수없는
2017-ja-21899	@ 렉섬 나는 holidog에 참여하여 셰이크와 꼬리 스타를 뿌려 나는 단지 그것을 사랑 1 명의 단골 손님을 가지고 있습니다 🙈🙈haha @ EmilyHD26 @ ellshd	우려	0 : 두려움은 추측 할 수없는
2017-JA-21887	HRC위한 @HillaryClinton 미국인! 아마도 세계를보고, 나라를 구하기 위해 두려움을 제거하면 당신은 DEMS를내는 것입니다.	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-JA-21008	나는 원래의 에어 바드르이 그 끔찍한 속편이나 스핀 오프의 계속을 정당화하기 위해 얼마나 많은 돈을 지불했는지 궁금합니다.	공포	0 : 두려움은 추측 할 수없는
2017-En-20671	나는 #shock과 #awe, 그리고 #toddler이 저녁 식사를 데리고 관리하는 위치에있다.	공포	0 : 두려움은 추측 할 수없는
2017-JA-21867	@Mista_Nightmare 왜 매주 가족과 시간을 보내고 비디오를 모르겠어요 공포 # takeabreak	공포	0 : 두려움은 추측 할 수없는
2017-JA-20313	소설뿐만 아니라, 이번 학기 내 연구 논문에 나는 운이 좋다고 생각한다. 15-20 페이지, 아, 소년. # daunting	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-ja-21980	@OpheliaMCFLY_GD 예! 일단 나는 사람들과 함께 일을하게 됐고지만, 정말 했어 ... 내게 거짓말을 누군가가있는 나쁜 것이다. 나는 악몽이야	공포	0 : 두려움은 추측 할 수없는
2017-JA-21915	@ monsoonuk 지난 밤 오후 10시 이전에 주문하고 다음날에 지불했다. 주문을 지불하는 것을 망설 없습니다. 지금 14 영업일에 환불!	공포	0 : 두려움은 추측 할 수없는
2017-JA-20455	@Morning_Joe @JoeNBC @mikebarnicle 트럼프는 난민의 상황은 '그것은 삶의 질에 대한 테러 만은 아니다 "고 말했다. 메모를.	공포	0 : 두려움은 추측 할 수없는
2017-En-21124	@ 마리사 _ 프로스트 @NevAmore_MFC 공포 나는 당신을 사랑 해요! 언젠가 나와 함께 모험하러 오세요!	공포	0 : 두려움은 추측 할 수없는
2017-JA-21966	나는 새로운 미국의 공포 이야기에 혼란스러워하고 있습니다.	공포	0 : 두려움은 추측 할 수없는
2017-ja-20086	@gdimelow @TheDailyShow @ NivenJ1 @jordanklepper이 인터뷰에서 나는 심한 것을 두려워한다. 내가 너무 많은 댐, 댐 미국인을 상상 한 적이 없습니다.	공포	3 : 대량의 공포가 추측 할 수있다
2017-En-21265	당신이 떨어져 함께 밴드 필요가 없습니다 # 그는 증오를 촉진하고 연료를	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-En-22182	@ jamieyates 그것은 우리가 노력하고있는 것입니다, Jamie! 도중에 의문이 있으면 언제든지 연락 주시기 바랍니다. 🙂	공포	0 : 두려움은 추측 할 수없는
2017-ja-21989	@ breadf2man @SunApology과 내일 켈빈 맥켄지이다. #shudder DontBuyTheSun	공포	0 : 두려움은 추측 할 수없는
2017-JA-22156	@Simon_Barrett 나는 주 멕시코에서 열 때 @BlairWitchMovie을 봅니다. 그것을 만들어 주셔서 감사합니다 낙심하지 마십시오.	공포	0 : 두려움은 추측 할 수없는
2017-ja-20728	용기의 개는 아이들을위한 미국의 공포 이야기 같은 것입니다	공포	0 : 두려움은 추측 할 수없는
2017-ja-20198	혼자있는 것은 고독하다는 것을보다 우수합니다. 외로운보다 나쁜 것을 알고 계십니까? 하늘이다. 그렇습니다! \ n # 이동 # 단순한 지역	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-JA-20843	누군가가 당신에게 "당신을 나눈다"며 자신이 말해야 할 것은 왜 매우 키가 큰합니까?	공포	0 : 두려움은 추측 할 수없는
2017-JA-20137	#UNGA의 #India 회신 권한 - # 파키스탄 인권 선전은 그 자체가 테러의 세계적인 진원지 인 국가에 의한 것입니다. 공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-ja-21508	미네르바가 자신의 망토를 씹을 때 항상 받고 있습니다. 떨고 시작하고 그의 머리카락을 손으로 달린다. \ n \ n '당신은 확실히 \ n @ ardentflier	수 있습니다. 공포	0 : 두려움은 추측 할 수없는
2017-En-21001	지금까지 바랬다의 모든 두려움의 반대편에 있습니다. -George Addair # ThursdayThoughts # 당신의 격려 사람 # life # quote	공포	0 : 두려움은 추측 할 수없는
2017-En-20450	나는 @windows 10을 사용한다 때마다 벽을 주먹으로하고 싶다고 생각합니다. 즉, 최악의 제품은 지금까지 # windows10 #awful # killme	공포	0 : 두려움은 추측 할 수없는
2017-JA-21366	@comcast 당신은 누군가를 쓰기 위해 150 추가 요금을 청구하고 당신의 케이블 서비스는 아직 작동하지 않습니다. 그것은 강도이다. #cable #horrible # service	공포	0 : 두려움은 추측 할 수없는
2017-En-20760	@MS_Hiddle_Batch 아니, 덴마크의 맛은 훨씬 좋지만, 덴마크 파이 만드는 것은 어려울 수 있습니다!	공포	0 : 두려움은 추측 할 수없는
2017-En-20250	@AmyMek이 너무 바보 난 지금도 웃을 수있었습니다 (우리 나라의 미래 울 생각이없는 경우). # wakeupcall	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-JA-20111	배경. # 스트레스 때 조금 겪었다. 항상 조금이라도 #shy. 약 8 년 전 (30 세) 나는 중복되었습니다. 그것이 시작된 것은	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-ja-21651	#EFT 치료사 인 40 년의 역사 속에서 내가 배운 가장 효과적인 도구입니다. Curtis A. Steele (정신과 의사) # 스트레스	공포	0 : 두려움은 추측 할 수없는
2017-ja-21215	당신이 보도하는 것이 무서운 경우 #bgoodthepoet #PrayForMe # ThisIsAGodDream # Career #help #fear #heart # HeartRacing	공포	3 : 대량의 공포가 추측 할 수있다
2017-JA-22109	@EricNobody @ArmouredSkeptic @YouTube 이것은 누가 먼저 누구의 깃발을 세울 수있다 냉전을 시작하는 것입니다.	공포	0 : 두려움은 추측 할 수없는
2017-En-21065	@ Burnt_Out_Darth @theaterofscifi 감사합니다.	공포	0 : 두려움은 추측 할 수없는
2017-JA-20505	@FJHobson @ Beaker126 @Biastai 당신은 우익 테러를 막기 위해 우리의 프로필을 어떻게 제언 하시겠습니까? 공포	0 : 두려움은 추측 할 수없는
2017-En-20618	오바마 행정부는 텍사스가 난민 신청을 테네시하도록 텍사스의 계획을 거부하고있다. 원조한다.	공포	0 : 두려움은 추측 할 수없는
2017-En-20627	@Taniel @LOLGOP 갈색의 사람 만 확인하면 웃음 거리 될 것입니다. 셔츠, 갈색 사람만을 말하는 법을 만듭시다.	공포	0 : 두려움은 추측 할 수없는
2017-JA-21248	@CesarSampao @thisisbolton 내가 도시의 중심에서 시작하는 것을 얻는다. 매주 실시했습니다 .... 18 개월이 없습니다. # horrible	공포	0 : 두려움은 추측 할 수없는
2017-En-20410	@Theresa_Talbot @fleurrbie Haha ... 무서운 바보 같은 이야기를 사과 ... 더 나갈 필요가 있습니다 .... 최근에는 결혼 했어요 ...	공포	0 : 두려움은 추측 할 수없는
2017-JA-22143	나는 매우 긴장하고 있습니다.	공포	3 : 대량의 공포가 추측 할 수있다
2017-ja-21481	내 의사는 아버지의 뒤에서 피를 흘리며 피를 당기는 것을 좋아했다. 우려도 좋지만 친절한 바늘입니다 : O	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-ja-21819	해변 # 오리건의 WiFi / ISP 리버 사이드 스위트가 무엇을 사용하고 있는지 모릅니다. 하지만 내가 할 수있는 최선의 53 밀리 초 ping와 D / L 테스트가 완료되지 않습니다 .. # terrible	공포	0 : 두려움은 추측 할 수없는
2017-ja-20748	@ Gotham3~ 어린이를위한 혹사! 매트릭스처럼. \ rHow 경기 일부 완전한 폭파 된 사랑은 당신이 당신의 핵심에 깊이 떨게됩니까? YES * = *	공포	0 : 두려움은 추측 할 수없는
2017-JA-20436	@MasterTomTheDom 나는 겨울이 싫어 도착 무서워요.	공포	0 : 두려움은 추측 할 수없는
2017-En-22162	손가락이 교차했습니다. 이번 주 금요일, LIB에서 @Raury을 잡을 정도로 빨리 나는 모든 일을 마칠 수 있습니다. # timetogrind	공포	2 : 중간 정도의 공포가 추측 할 수있다
2017-JA-21489	@Doubtism 나는 역사와 다른 사람들에 대해 아니, 난 당신에 대해서입니다. 나는 아무도 왕따 없습니다. 나는 3 개의 게시물을 작성하고	공포	0 : 두려움은 추측 할 수없는
2017-JA-20343	제 2 라운드 #panic # pcola	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-En-21515	@ ayeshashafique5 우리는 파키스탄의 내정을 걱정하지 않습니다. 하지만 국가 & amp; 경제 정책. 테러리즘.	공포	0 : 두려움은 추측 할 수없는
2017-JA-20267	루니! 아, 안녕하세요! 무서운 🙈⚽️⚽️	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-ja-21102	내 사랑 공주가 도착하는 준비가되어 있습니다. 이번주 토요일에 나는 그에게 37 주 둡니다! # excited	공포	0 : 두려움은 추측 할 수없는
2017-En-21398	#tulsa - 경찰의 제조 살인 ... 왜 버너를 들고 있을까? - MaxLevelz	공포	1 : 낮은 양의 공포가 추측 할 수있다
2017-JA-20988 & nbsp;. @ SimonNRicketts 주인님이 무엇인지 모르는 경우, 당신에	공포	0 : 두려움은 추측 할 수없는
2017-JA-21473	나는 주차 센서의 유일한 것으로, 아직 물건을 거슬러합니까? # 야간	공포	0 : 두려움은 추측 할 수없는
